"date","TagID","travel_adj","period","sum_p","mean_r","mean_t","mean_w"
2024-07-04,"Tag_11",113.225335198688,"after",0,367.733333333333,13.67,5.27066666666667
2024-07-04,"Tag_8",165.335665882893,"after",0,367.733333333333,13.67,5.27066666666667
2024-07-04,"Tag_21",59.0308482798071,"after",0,367.733333333333,13.67,5.27066666666667
2024-07-04,"Tag_19",207.447029727998,"after",0,367.733333333333,13.67,5.27066666666667
2024-07-04,"Tag_5",81.4549244547801,"after",0,367.733333333333,13.67,5.27066666666667
2024-07-04,"Tag_14",176.724558403275,"after",0,367.733333333333,13.67,5.27066666666667
2024-07-04,"Tag_3",196.109102785896,"after",0,367.733333333333,13.67,5.27066666666667
2024-07-04,"Tag_5",133.89226294953,"before",0,221.55,12.68,4.2585
2024-07-04,"Tag_8",192.550543588419,"before",0,221.55,12.68,4.2585
2024-07-04,"Tag_3",163.97238038331,"before",0,221.55,12.68,4.2585
2024-07-04,"Tag_19",161.800772798683,"before",0,221.55,12.68,4.2585
2024-07-04,"Tag_22",229.276829604286,"before",0,221.55,12.68,4.2585
2024-07-04,"Tag_14",395.877906664903,"before",0,221.55,12.68,4.2585
2024-07-04,"Tag_11",214.274839680229,"before",0,221.55,12.68,4.2585
2024-07-04,"Tag_13",105.767254185585,"before",0,221.55,12.68,4.2585
2024-07-04,"Tag_21",153.57681723379,"before",0,221.55,12.68,4.2585
2024-07-04,"Tag_20",201.454752601822,"before",0,221.55,12.68,4.2585
2024-07-05,"Tag_5",0,"after",0,521.5,15.2566666666667,2.432
2024-07-05,"Tag_3",102.8971027842,"after",0,521.5,15.2566666666667,2.432
2024-07-05,"Tag_14",82.2722889793304,"after",0,521.5,15.2566666666667,2.432
2024-07-05,"Tag_11",115.262044969018,"after",0,521.5,15.2566666666667,2.432
2024-07-05,"Tag_8",27.9663445924643,"after",0,521.5,15.2566666666667,2.432
2024-07-05,"Tag_13",45.1414214126269,"after",0,521.5,15.2566666666667,2.432
2024-07-05,"Tag_21",26.8669572149183,"after",0,521.5,15.2566666666667,2.432
2024-07-05,"Tag_19",144.255840858422,"after",0,521.5,15.2566666666667,2.432
2024-07-05,"Tag_20",167.361617225412,"after",0,521.5,15.2566666666667,2.432
2024-07-05,"Tag_14",14.5967646952888,"before",0,283.1,13.6766666666667,2.23133333333333
2024-07-05,"Tag_13",119.56570690388,"before",0,283.1,13.6766666666667,2.23133333333333
