"date","period","gsize","area_mean","area_den","sum_p","mean_r","mean_t","mean_w"
2024-07-01,"before",10,1564.72394529637,6.39090366710398,0.207,94.5266666666667,11.6633333333333,2.863
2024-07-01,"after",10,741.243513496985,13.4908431816458,0,235.533333333333,13.25,3.755
2024-07-02,"before",10,1339.07526556169,7.46784012607787,0,240.7,13.505,1.41
2024-07-02,"after",10,808.800539158379,12.363987801499,0,182.566666666667,13.8,1.67233333333333
2024-07-03,"before",10,434.509033076255,23.0144812622228,0,183.55,13.755,3.2295
2024-07-03,"after",10,891.12018240662,11.2218309016336,0,535.066666666667,15.6933333333333,3.65633333333333
2024-07-04,"before",10,1547.15437857889,6.46347910619323,0,221.55,12.68,4.2585
2024-07-04,"after",10,772.029012690372,12.9528810907662,0,367.733333333333,13.67,5.27066666666667
2024-07-05,"before",9,629.41211773205,14.2990574004669,0,283.1,13.6766666666667,2.23133333333333
2024-07-05,"after",9,1353.52564348725,6.6493014323779,0,521.5,15.2566666666667,2.432
2024-07-06,"before",9,1095.21158434873,8.21759021600552,0,517.666666666667,14.2266666666667,3.145
2024-07-06,"after",9,2391.23598879891,3.76374395591152,0,567.7,15.4366666666667,3.78466666666667
2024-07-07,"before",9,1573.91826869735,5.71821306035722,0.207,502.433333333333,14.94,2.562
2024-07-08,"before",9,1370.78409306613,6.56558537958307,0,372.866666666667,15.2766666666667,0.837
2024-07-08,"after",9,1498.16633393048,6.00734364146888,0,645.4,16.11,2.20166666666667
2024-07-09,"before",9,1173.22693752456,7.67115015189598,0,162.066666666667,15.2766666666667,2.15633333333333
2024-07-09,"after",9,1286.16964541106,6.99752169716587,0.414,184.1,16.6533333333333,1.69833333333333
2024-07-10,"before",9,1816.05882163854,4.95578661481886,0,169.966666666667,14.58,3.748
2024-07-10,"after",8,1006.09560389881,7.95153061895761,0,538.4,15.5366666666667,4.27033333333333
2024-07-11,"before",7,508.589864804746,13.7635460012311,0.207,170.9,14.5033333333333,1.54233333333333
2024-07-11,"after",7,1191.05914442112,5.87712208313729,0,183.933333333333,15.0133333333333,1.59133333333333
2024-07-12,"before",7,1249.94189132377,5.60026033897188,0,180.066666666667,14.35,0.780666666666667
2024-07-12,"after",7,1291.2488641131,5.42110835064159,0.207,124.866666666667,14.6266666666667,1.115
2024-07-13,"before",6,530.035696662023,11.3199922906813,0,314.666666666667,14.4966666666667,2.02033333333333
2024-07-13,"after",6,1614.58058196412,3.71613536482711,0,539.333333333333,17.21,1.617
2024-07-14,"before",6,793.556591537736,7.56089743816926,0,263.166666666667,16.2,1.53266666666667
2024-07-14,"after",6,1588.58839053313,3.77693808903286,0,426.233333333333,17.1866666666667,1.60066666666667
2024-07-15,"before",6,1460.62328820717,4.10783536620498,0,312.633333333333,17.1166666666667,1.02266666666667
2024-07-15,"after",6,520.120273020744,11.5357933755463,0,370.7,19.4,1.28466666666667
2024-07-17,"before",6,864.577793726574,6.93980350124228,0,531.733333333333,20.1766666666667,3.02433333333333
2024-07-17,"after",6,528.361683114099,11.3558575342495,0,817.8,21.5633333333333,4.04466666666667
2024-07-19,"before",6,723.995708348256,8.28734194252141,0,341.6,19.99,2.46033333333333
2024-07-19,"after",6,1162.31961812614,5.1620913098525,0,284.133333333333,20.7333333333333,1.89533333333333
2024-07-22,"before",5,1545.17844492368,3.23587221684739,0,81.8,15.92,2.226
