"date","TagID","mean_iid","phase","mean_r","mean_t","mean_w","sum_p"
2024-06-25,"Tag_1",36.488517707651,"no",185.080952380952,16.26,1.69438095238095,0
2024-06-25,"Tag_10",35.0121880822298,"no",185.080952380952,16.26,1.69438095238095,0
2024-06-25,"Tag_11",35.8306174076414,"no",185.080952380952,16.26,1.69438095238095,0
2024-06-25,"Tag_12",38.0463666478961,"no",185.080952380952,16.26,1.69438095238095,0
2024-06-25,"Tag_13",39.0068161307945,"no",185.080952380952,16.26,1.69438095238095,0
2024-06-25,"Tag_14",33.4470112911996,"no",185.080952380952,16.26,1.69438095238095,0
2024-06-25,"Tag_16",37.8148809831858,"no",185.080952380952,16.26,1.69438095238095,0
2024-06-25,"Tag_18",35.6261145956393,"no",185.080952380952,16.26,1.69438095238095,0
2024-06-25,"Tag_19",36.462064158987,"no",185.080952380952,16.26,1.69438095238095,0
2024-06-25,"Tag_20",32.4848423644527,"no",185.080952380952,16.26,1.69438095238095,0
2024-06-25,"Tag_21",35.699292749785,"no",185.080952380952,16.26,1.69438095238095,0
2024-06-25,"Tag_22",35.0560654587115,"no",185.080952380952,16.26,1.69438095238095,0
2024-06-25,"Tag_3",36.0594493442501,"no",185.080952380952,16.26,1.69438095238095,0
2024-06-25,"Tag_5",34.6137394528553,"no",185.080952380952,16.26,1.69438095238095,0
2024-06-25,"Tag_7",36.2838038006926,"no",185.080952380952,16.26,1.69438095238095,0
2024-06-25,"Tag_8",40.3449845431991,"no",185.080952380952,16.26,1.69438095238095,0
2024-06-26,"Tag_1",33.8837387226911,"no",590.738095238095,22.1071428571429,1.88861904761905,0
2024-06-26,"Tag_10",37.4519921804476,"no",590.738095238095,22.1071428571429,1.88861904761905,0
2024-06-26,"Tag_11",31.2546844969344,"no",590.738095238095,22.1071428571429,1.88861904761905,0
2024-06-26,"Tag_12",34.3103106724049,"no",590.738095238095,22.1071428571429,1.88861904761905,0
2024-06-26,"Tag_13",34.5662845931365,"no",590.738095238095,22.1071428571429,1.88861904761905,0
2024-06-26,"Tag_14",35.4460353028783,"no",590.738095238095,22.1071428571429,1.88861904761905,0
2024-06-26,"Tag_16",35.2064513279529,"no",590.738095238095,22.1071428571429,1.88861904761905,0
2024-06-26,"Tag_18",36.5849362001341,"no",590.738095238095,22.1071428571429,1.88861904761905,0
2024-06-26,"Tag_19",35.6780711650587,"no",590.738095238095,22.1071428571429,1.88861904761905,0
2024-06-26,"Tag_20",30.9851523906969,"no",590.738095238095,22.1071428571429,1.88861904761905,0
2024-06-26,"Tag_21",33.9311353722494,"no",590.738095238095,22.1071428571429,1.88861904761905,0
2024-06-26,"Tag_22",36.5566180080819,"no",590.738095238095,22.1071428571429,1.88861904761905,0
2024-06-26,"Tag_3",32.4950648499699,"no",590.738095238095,22.1071428571429,1.88861904761905,0
2024-06-26,"Tag_5",34.8720409040256,"no",590.738095238095,22.1071428571429,1.88861904761905,0
2024-06-26,"Tag_7",36.8820725595113,"no",590.738095238095,22.1071428571429,1.88861904761905,0
2024-06-26,"Tag_8",37.8301107792881,"no",590.738095238095,22.1071428571429,1.88861904761905,0
2024-06-27,"Tag_1",24.1471024850613,"no",506.604761904762,16.9438095238095,5.45766666666667,0
2024-06-27,"Tag_10",29.440254224163,"no",506.604761904762,16.9438095238095,5.45766666666667,0
2024-06-27,"Tag_11",25.1715549671085,"no",506.604761904762,16.9438095238095,5.45766666666667,0
2024-06-27,"Tag_12",28.4226744569867,"no",506.604761904762,16.9438095238095,5.45766666666667,0
2024-06-27,"Tag_13",28.8973002440456,"no",506.604761904762,16.9438095238095,5.45766666666667,0
2024-06-27,"Tag_14",31.0940359019023,"no",506.604761904762,16.9438095238095,5.45766666666667,0
2024-06-27,"Tag_16",27.1754550060434,"no",506.604761904762,16.9438095238095,5.45766666666667,0
2024-06-27,"Tag_18",29.4985496158065,"no",506.604761904762,16.9438095238095,5.45766666666667,0
2024-06-27,"Tag_19",25.764613638737,"no",506.604761904762,16.9438095238095,5.45766666666667,0
2024-06-27,"Tag_20",23.3254943908715,"no",506.604761904762,16.9438095238095,5.45766666666667,0
2024-06-27,"Tag_21",26.6070579075477,"no",506.604761904762,16.9438095238095,5.45766666666667,0
2024-06-27,"Tag_22",26.8120457991683,"no",506.604761904762,16.9438095238095,5.45766666666667,0
2024-06-27,"Tag_3",25.2253322569501,"no",506.604761904762,16.9438095238095,5.45766666666667,0
2024-06-27,"Tag_5",23.666430500799,"no",506.604761904762,16.9438095238095,5.45766666666667,0
2024-06-27,"Tag_7",29.2290799436589,"no",506.604761904762,16.9438095238095,5.45766666666667,0
2024-06-27,"Tag_8",34.8511425262707,"no",506.604761904762,16.9438095238095,5.45766666666667,0
2024-06-28,"Tag_1",19.2949715113592,"no",287.435238095238,14.9890476190476,3.75638095238095,0
2024-06-28,"Tag_10",23.1274227414556,"no",287.435238095238,14.9890476190476,3.75638095238095,0
2024-06-28,"Tag_11",18.4467603450231,"no",287.435238095238,14.9890476190476,3.75638095238095,0
2024-06-28,"Tag_12",23.0747504538732,"no",287.435238095238,14.9890476190476,3.75638095238095,0
2024-06-28,"Tag_13",21.4449388690188,"no",287.435238095238,14.9890476190476,3.75638095238095,0
2024-06-28,"Tag_14",20.9777705282846,"no",287.435238095238,14.9890476190476,3.75638095238095,0
2024-06-28,"Tag_16",20.4669537955222,"no",287.435238095238,14.9890476190476,3.75638095238095,0
2024-06-28,"Tag_18",21.0171906233923,"no",287.435238095238,14.9890476190476,3.75638095238095,0
2024-06-28,"Tag_19",19.7376215047147,"no",287.435238095238,14.9890476190476,3.75638095238095,0
2024-06-28,"Tag_20",21.7989375529288,"no",287.435238095238,14.9890476190476,3.75638095238095,0
2024-06-28,"Tag_21",18.2838973808338,"no",287.435238095238,14.9890476190476,3.75638095238095,0
2024-06-28,"Tag_22",21.5760994164605,"no",287.435238095238,14.9890476190476,3.75638095238095,0
2024-06-28,"Tag_3",21.1211586595559,"no",287.435238095238,14.9890476190476,3.75638095238095,0
2024-06-28,"Tag_5",21.7269593982681,"no",287.435238095238,14.9890476190476,3.75638095238095,0
2024-06-28,"Tag_7",24.2669682594471,"no",287.435238095238,14.9890476190476,3.75638095238095,0
2024-06-28,"Tag_8",22.3682083046186,"no",287.435238095238,14.9890476190476,3.75638095238095,0
2024-06-29,"Tag_1",26.8133243462591,"no",318.638095238095,16.1804761904762,2.41771428571429,1.035
2024-06-29,"Tag_10",37.0336431864111,"no",318.638095238095,16.1804761904762,2.41771428571429,1.035
2024-06-29,"Tag_11",28.2768040617626,"no",318.638095238095,16.1804761904762,2.41771428571429,1.035
2024-06-29,"Tag_13",32.9279598525807,"no",318.638095238095,16.1804761904762,2.41771428571429,1.035
2024-06-29,"Tag_14",27.0550042293254,"no",318.638095238095,16.1804761904762,2.41771428571429,1.035
2024-06-29,"Tag_16",27.5103084986819,"no",318.638095238095,16.1804761904762,2.41771428571429,1.035
2024-06-29,"Tag_18",32.6571433663058,"no",318.638095238095,16.1804761904762,2.41771428571429,1.035
2024-06-29,"Tag_19",31.2670553085305,"no",318.638095238095,16.1804761904762,2.41771428571429,1.035
2024-06-29,"Tag_20",32.968608792142,"no",318.638095238095,16.1804761904762,2.41771428571429,1.035
2024-06-29,"Tag_21",28.4627761457745,"no",318.638095238095,16.1804761904762,2.41771428571429,1.035
2024-06-29,"Tag_22",31.2276263962692,"no",318.638095238095,16.1804761904762,2.41771428571429,1.035
2024-06-29,"Tag_3",31.465661629794,"no",318.638095238095,16.1804761904762,2.41771428571429,1.035
2024-06-29,"Tag_5",30.5133137595973,"no",318.638095238095,16.1804761904762,2.41771428571429,1.035
2024-06-29,"Tag_7",28.0553028705624,"no",318.638095238095,16.1804761904762,2.41771428571429,1.035
2024-06-29,"Tag_8",32.8573166056809,"no",318.638095238095,16.1804761904762,2.41771428571429,1.035
2024-06-30,"Tag_10",34.5525654341509,"no",221.761428571429,13.9838095238095,1.73919047619048,0
2024-06-30,"Tag_11",32.7856190545393,"no",221.761428571429,13.9838095238095,1.73919047619048,0
