"date","TagID","tra_adj","phase","mean_r","mean_t","mean_w","sum_p"
2024-06-25,"Tag_1",723.487422761676,"no",185.080952380952,16.26,1.69438095238095,0
2024-06-25,"Tag_10",177.165936273616,"no",185.080952380952,16.26,1.69438095238095,0
2024-06-25,"Tag_11",1357.95099807683,"no",185.080952380952,16.26,1.69438095238095,0
2024-06-25,"Tag_12",642.98645014849,"no",185.080952380952,16.26,1.69438095238095,0
2024-06-25,"Tag_13",1102.07787264943,"no",185.080952380952,16.26,1.69438095238095,0
2024-06-25,"Tag_14",1326.73961026326,"no",185.080952380952,16.26,1.69438095238095,0
2024-06-25,"Tag_16",928.271076083936,"no",185.080952380952,16.26,1.69438095238095,0
2024-06-25,"Tag_18",869.83357033346,"no",185.080952380952,16.26,1.69438095238095,0
2024-06-25,"Tag_19",1159.79187345976,"no",185.080952380952,16.26,1.69438095238095,0
2024-06-25,"Tag_20",1661.49456781952,"no",185.080952380952,16.26,1.69438095238095,0
2024-06-25,"Tag_21",1030.37870599728,"no",185.080952380952,16.26,1.69438095238095,0
2024-06-25,"Tag_22",1109.45413682184,"no",185.080952380952,16.26,1.69438095238095,0
2024-06-25,"Tag_3",1189.08608765833,"no",185.080952380952,16.26,1.69438095238095,0
2024-06-25,"Tag_5",827.552452262955,"no",185.080952380952,16.26,1.69438095238095,0
2024-06-25,"Tag_7",970.698811640795,"no",185.080952380952,16.26,1.69438095238095,0
2024-06-25,"Tag_8",1018.46401743961,"no",185.080952380952,16.26,1.69438095238095,0
2024-06-26,"Tag_1",1070.13721719993,"no",590.738095238095,22.1071428571429,1.88861904761905,0
2024-06-26,"Tag_10",165.658533490118,"no",590.738095238095,22.1071428571429,1.88861904761905,0
2024-06-26,"Tag_11",796.883260496843,"no",590.738095238095,22.1071428571429,1.88861904761905,0
2024-06-26,"Tag_12",522.107591422184,"no",590.738095238095,22.1071428571429,1.88861904761905,0
2024-06-26,"Tag_13",795.611678755138,"no",590.738095238095,22.1071428571429,1.88861904761905,0
2024-06-26,"Tag_14",1764.53676176794,"no",590.738095238095,22.1071428571429,1.88861904761905,0
2024-06-26,"Tag_16",715.481877893862,"no",590.738095238095,22.1071428571429,1.88861904761905,0
2024-06-26,"Tag_18",564.007865051759,"no",590.738095238095,22.1071428571429,1.88861904761905,0
2024-06-26,"Tag_19",866.220254735144,"no",590.738095238095,22.1071428571429,1.88861904761905,0
2024-06-26,"Tag_20",1235.0904554155,"no",590.738095238095,22.1071428571429,1.88861904761905,0
2024-06-26,"Tag_21",863.030662288874,"no",590.738095238095,22.1071428571429,1.88861904761905,0
2024-06-26,"Tag_22",870.131228259111,"no",590.738095238095,22.1071428571429,1.88861904761905,0
2024-06-26,"Tag_3",771.058407823775,"no",590.738095238095,22.1071428571429,1.88861904761905,0
2024-06-26,"Tag_5",569.652709520036,"no",590.738095238095,22.1071428571429,1.88861904761905,0
2024-06-26,"Tag_7",856.528094579703,"no",590.738095238095,22.1071428571429,1.88861904761905,0
2024-06-26,"Tag_8",858.974990333,"no",590.738095238095,22.1071428571429,1.88861904761905,0
2024-06-27,"Tag_1",985.851100432724,"no",506.604761904762,16.9438095238095,5.45766666666667,0
2024-06-27,"Tag_10",183.33001796244,"no",506.604761904762,16.9438095238095,5.45766666666667,0
2024-06-27,"Tag_11",795.540694002598,"no",506.604761904762,16.9438095238095,5.45766666666667,0
2024-06-27,"Tag_12",972.260148523634,"no",506.604761904762,16.9438095238095,5.45766666666667,0
2024-06-27,"Tag_13",823.672193989265,"no",506.604761904762,16.9438095238095,5.45766666666667,0
2024-06-27,"Tag_14",1175.91646566974,"no",506.604761904762,16.9438095238095,5.45766666666667,0
2024-06-27,"Tag_16",983.484262054155,"no",506.604761904762,16.9438095238095,5.45766666666667,0
2024-06-27,"Tag_18",893.916196433589,"no",506.604761904762,16.9438095238095,5.45766666666667,0
2024-06-27,"Tag_19",1008.04758489402,"no",506.604761904762,16.9438095238095,5.45766666666667,0
2024-06-27,"Tag_20",848.902189818506,"no",506.604761904762,16.9438095238095,5.45766666666667,0
2024-06-27,"Tag_21",989.072902117968,"no",506.604761904762,16.9438095238095,5.45766666666667,0
2024-06-27,"Tag_22",962.766439873542,"no",506.604761904762,16.9438095238095,5.45766666666667,0
2024-06-27,"Tag_3",723.593310718741,"no",506.604761904762,16.9438095238095,5.45766666666667,0
2024-06-27,"Tag_5",730.739509204795,"no",506.604761904762,16.9438095238095,5.45766666666667,0
2024-06-27,"Tag_7",546.009083270123,"no",506.604761904762,16.9438095238095,5.45766666666667,0
2024-06-27,"Tag_8",901.915723553006,"no",506.604761904762,16.9438095238095,5.45766666666667,0
2024-06-28,"Tag_1",1951.50419552165,"no",287.435238095238,14.9890476190476,3.75638095238095,0
2024-06-28,"Tag_10",768.678968882732,"no",287.435238095238,14.9890476190476,3.75638095238095,0
2024-06-28,"Tag_11",1978.75743946969,"no",287.435238095238,14.9890476190476,3.75638095238095,0
2024-06-28,"Tag_12",2172.39602944511,"no",287.435238095238,14.9890476190476,3.75638095238095,0
2024-06-28,"Tag_13",1902.86746565104,"no",287.435238095238,14.9890476190476,3.75638095238095,0
