"date","TagID","percentage","home_adj","phase","mean_r","mean_t","mean_w","sum_p"
2024-06-25,"Tag_3",0.5,1169.67546015445,"no",185.080952380952,16.26,1.69438095238095,0
2024-06-25,"Tag_3",0.95,6154.28957827545,"no",185.080952380952,16.26,1.69438095238095,0
2024-06-26,"Tag_3",0.5,1076.05610977914,"no",590.738095238095,22.1071428571429,1.88861904761905,0
2024-06-26,"Tag_3",0.95,5981.77997321872,"no",590.738095238095,22.1071428571429,1.88861904761905,0
2024-06-27,"Tag_3",0.5,732.900020298963,"no",506.604761904762,16.9438095238095,5.45766666666667,0
2024-06-27,"Tag_3",0.95,4229.86174676909,"no",506.604761904762,16.9438095238095,5.45766666666667,0
2024-06-28,"Tag_3",0.5,1349.44834254422,"no",287.435238095238,14.9890476190476,3.75638095238095,0
2024-06-28,"Tag_3",0.95,6493.22066742198,"no",287.435238095238,14.9890476190476,3.75638095238095,0
2024-06-29,"Tag_3",0.5,980.99750313821,"no",318.638095238095,16.1804761904762,2.41771428571429,1.035
2024-06-29,"Tag_3",0.95,5471.84442140385,"no",318.638095238095,16.1804761904762,2.41771428571429,1.035
2024-06-30,"Tag_3",0.5,717.436851952977,"no",221.761428571429,13.9838095238095,1.73919047619048,0
2024-06-30,"Tag_3",0.95,3613.92182798979,"no",221.761428571429,13.9838095238095,1.73919047619048,0
2024-07-01,"Tag_3",0.5,1117.51990412954,"yes",197.702857142857,13.7909523809524,3.12380952380952,2.07
2024-07-01,"Tag_3",0.95,7146.45465807031,"yes",197.702857142857,13.7909523809524,3.12380952380952,2.07
2024-07-02,"Tag_3",0.5,1241.32961743905,"yes",283.780952380952,14.8861904761905,1.97833333333333,0
2024-07-02,"Tag_3",0.95,6066.33883704777,"yes",283.780952380952,14.8861904761905,1.97833333333333,0
2024-07-03,"Tag_3",0.5,1115.89428077922,"yes",392.104761904762,16.1552380952381,3.90352380952381,0
2024-07-03,"Tag_3",0.95,7752.44775739862,"yes",392.104761904762,16.1552380952381,3.90352380952381,0
2024-07-04,"Tag_3",0.5,1272.2562328938,"yes",408.061904761905,14.8895238095238,5.30028571428571,0
2024-07-04,"Tag_3",0.95,7482.7342799881,"yes",408.061904761905,14.8895238095238,5.30028571428571,0
2024-07-05,"Tag_3",0.5,1194.33883520363,"yes",474.633333333333,15.5338095238095,2.66485714285714,0
2024-07-05,"Tag_3",0.95,6941.77974510425,"yes",474.633333333333,15.5338095238095,2.66485714285714,0
2024-07-06,"Tag_3",0.5,796.065423113998,"yes",376.661428571429,13.3428571428571,2.57857142857143,10.35
2024-07-06,"Tag_3",0.95,4092.69732714709,"yes",376.661428571429,13.3428571428571,2.57857142857143,10.35
2024-07-07,"Tag_3",0.5,568.335855497047,"yes",396.461904761905,13.8652380952381,2.10438095238095,1.863
2024-07-07,"Tag_3",0.95,4929.73666361654,"yes",396.461904761905,13.8652380952381,2.10438095238095,1.863
2024-07-08,"Tag_3",0.5,892.974418164585,"yes",520.228571428571,16.1057142857143,2.19614285714286,0
2024-07-08,"Tag_3",0.95,5128.27122440064,"yes",520.228571428571,16.1057142857143,2.19614285714286,0
2024-07-09,"Tag_3",0.5,1347.29822173731,"yes",213.851904761905,17.2138095238095,1.68552380952381,0.414
2024-07-09,"Tag_3",0.95,7351.90724620281,"yes",213.851904761905,17.2138095238095,1.68552380952381,0.414
2024-07-10,"Tag_3",0.5,975.095146287261,"yes",314.614285714286,15.1542857142857,3.72557142857143,2.277
2024-07-10,"Tag_3",0.95,4823.3106294592,"yes",314.614285714286,15.1542857142857,3.72557142857143,2.277
2024-07-11,"Tag_3",0.5,1639.70313461974,"yes",149.898571428571,14.6585714285714,2.1012380952381,1.242
2024-07-11,"Tag_3",0.95,7194.05033200974,"yes",149.898571428571,14.6585714285714,2.1012380952381,1.242
2024-07-12,"Tag_3",0.5,871.799802577484,"yes",312.609523809524,15.3314285714286,1.37838095238095,0.207
2024-07-12,"Tag_3",0.95,5203.03487023664,"yes",312.609523809524,15.3314285714286,1.37838095238095,0.207
2024-07-13,"Tag_3",0.5,1493.39879358641,"yes",303.095238095238,15.6433333333333,1.7477619047619,0
2024-07-13,"Tag_3",0.95,7497.24264164646,"yes",303.095238095238,15.6433333333333,1.7477619047619,0
2024-07-14,"Tag_3",0.5,1507.54942021071,"yes",327.161904761905,16.6880952380952,1.5487619047619,0
2024-07-14,"Tag_3",0.95,7028.37239047678,"yes",327.161904761905,16.6880952380952,1.5487619047619,0
2024-07-15,"Tag_3",0.5,1306.86203963565,"yes",282.169047619048,18.6895238095238,1.16766666666667,1.242
2024-07-15,"Tag_3",0.95,6921.38697114832,"yes",282.169047619048,18.6895238095238,1.16766666666667,1.242
2024-07-16,"Tag_3",0.5,908.411767585782,"no",144.512380952381,15.9804761904762,1.36790476190476,0
2024-07-16,"Tag_3",0.95,5372.63757782711,"no",144.512380952381,15.9804761904762,1.36790476190476,0
2024-07-17,"Tag_3",0.5,1020.72446434325,"yes",550.142857142857,20.4966666666667,2.87880952380952,0
2024-07-17,"Tag_3",0.95,6127.72339090864,"yes",550.142857142857,20.4966666666667,2.87880952380952,0
2024-07-18,"Tag_3",0.5,1125.93285856604,"no",444.166666666667,19.947619047619,2.43719047619048,0.414
2024-07-18,"Tag_3",0.95,6100.52787363101,"no",444.166666666667,19.947619047619,2.43719047619048,0.414
2024-07-19,"Tag_3",0.5,904.267223413803,"yes",576.204761904762,22.3947619047619,2.87790476190476,0
2024-07-19,"Tag_3",0.95,5543.58057283436,"yes",576.204761904762,22.3947619047619,2.87790476190476,0
2024-07-20,"Tag_3",0.5,727.55792196074,"no",168.888571428571,17.7128571428571,1.26328571428571,6.831
2024-07-20,"Tag_3",0.95,5379.55357278779,"no",168.888571428571,17.7128571428571,1.26328571428571,6.831
2024-07-21,"Tag_3",0.5,873.167617772384,"no",432.633333333333,16.7695238095238,3.07495238095238,0
2024-07-21,"Tag_3",0.95,4816.77737826805,"no",432.633333333333,16.7695238095238,3.07495238095238,0
2024-06-25,"Tag_10",0.5,472.755940780143,"no",185.080952380952,16.26,1.69438095238095,0
2024-06-25,"Tag_10",0.95,2845.17462261572,"no",185.080952380952,16.26,1.69438095238095,0
2024-06-26,"Tag_10",0.5,278.125168865505,"no",590.738095238095,22.1071428571429,1.88861904761905,0
2024-06-26,"Tag_10",0.95,1759.91748949611,"no",590.738095238095,22.1071428571429,1.88861904761905,0
2024-06-27,"Tag_10",0.5,343.643242875665,"no",506.604761904762,16.9438095238095,5.45766666666667,0
2024-06-27,"Tag_10",0.95,1811.6187916434,"no",506.604761904762,16.9438095238095,5.45766666666667,0
2024-06-28,"Tag_10",0.5,578.28108138223,"no",287.435238095238,14.9890476190476,3.75638095238095,0
2024-06-28,"Tag_10",0.95,4332.04833106248,"no",287.435238095238,14.9890476190476,3.75638095238095,0
2024-06-29,"Tag_10",0.5,373.02321193949,"no",318.638095238095,16.1804761904762,2.41771428571429,1.035
